modelname,foto,colorcode,fullmodelcode,model_id,group,subgroup,category,subcategory,status,season,colorname,service,first_date,cm,codes,Фотосессия 21-54,Фотосессия 21-55,Фотосессия 21-56,Фотосессия 21-57,Фотосессия 21-58,Фотосессия 21-59,Фотосессия 21-60,Фотосессия 21-61,Фотосессия 21-62,Фотосессия 21-63,Фотосессия 21-64,Фотосессия 21-65,Фотосессия 21-66,Фотосессия 21-67,Фотосессия 21-68,received,received_in_cogs,sales,sales_in_cogs,realization,days0,speed_of_sales,amount,margin,was_in_sale,stocks,cogs_x,stock_in_cogs,roa,roa1,roa2,days_w,sales_w,speed_of_sales_w,cover_w,2_a,"Москва, Долгоруковская, 40.",0_a,"Зал (Долгоруковская, 40)",Мск склад Новослободская,"Склад ""Единички"" (Москва, Долгоруковская, 40)",Транзит Москва - Новослободская,Транзит Б.Дорогомиловская - Долгоруковская,"Новая Коллекция (Долгоруковская, 40)",1_a,"Ремонт (Москва, Долгоруковская, 40)","Стирка (Долгоруковская, 40)","Брак (Москва, Долгоруковская, 40)",2_b,"Москва, Большая Дорогомиловская, д.8",0_b,"Зал продаж (Большая Дорогомиловская, 8)","Склад (Большая Дорогомиловская, 8)","Склад ""Единички"" (Большая Дорогомиловская, 8)",Транзит Москва - Дорогомиловская,Транзит Долгоруковская - Б.Дорогомиловская,"Новая Коллекция (Большая Дорогомиловская, 8)",1_b,"Ремонт (Большая Дорогомиловская, 8)","Стирка (Большая Дорогомиловская, 8)","Брак (Большая Дорогомиловская, 8)",2_c,Спб,0_c,"Склад (Спб, Фурштатская, 42)","Транзит Москва - Питер (Спб, распред.)","Зал продаж (Спб, Фурштатская, 42)","Склад Новая Коллекция (Спб, Фурштатская, 42)","Склад ""Единички"" (Спб, Фурштатская, 42)",Транзит Москва - Фурштатская,Транзит Казань - Питер,"Склад Новая Коллекция (Спб, Фурштатская, 42)","Сезон Хранение (Спб, распред.)","Склад ""Нижний"" (Спб, Фурштатская, 42)",1_c,"Ремонт (Спб, Фурштатская, 42)","Стирка (Спб, Фурштатская, 42)","Брак (Спб, Фурштатская, 42)",2_d,"Интернет магазин ""Look Online""",0_d,Склад (Интернет магазин Яковлев),Транзит Москва - ИМ,1_d,Зал продаж (Интернет магазин Яковлев),Стирка (Интернет магазин Яковлев),Ремонт (Интернет магазин Яковлев),Брак (Интернет магазин Яковлев),2_e,Основной магазин,0_e,Мск Склад ответ хранение  (Новый),Мск Сезонное хранение(Новый),Транзит Казань - Москва (Новый),Транзит Питер - Москва,Транзит Новослободская - Москва,Транзит Дорогомиловская - Москва,Транзит ИМ - Москва,Мск Контент склад (Новый),Фотосессия2,Мск на фотосессии (Новый),Склад Sale (центральный склад),Ответ Хран (Нью Лайн),Склад поступлений (ИП Шестаков),Склад поступлений (ИП Козлов),1_e,Склад списания,Мск Ремонт (Новый),Мск Брак (Новый),Товары для Киевской,Товары для Фурштатская,2_f,Китай,0_f,"Казань, Проспект Победы, 33",0_g,"Зал продаж (Казань, Проспект Победы, 33)","Зал продаж - обувь (Казань, Проспект Победы, 33)","Склад (Казань, Проспект Победы, 33)","Склад Лето Сезон Хран(Казань, Проспект Победы, 33)","Сезонное хранение (Казань, Проспект Победы, 33)","Склад ""Единички"" (Казань, Проспект Победы, 33)",Транзит Москва - Казань (Новый),Транзит Питер - Казань,"Новая Коллекция (Казань, Проспект Победы, 33)","Склад Sale (Казань, Проспект Победы, 33)",1_g,Транзит Брак Москва - Казань,"Уценка (Казань, Проспект Победы, 33)","Стирка (Казань, Проспект Победы, 33)","Ремонт (Казань, Проспект Победы, 33)",2_h,"Казань, Декабристов, 8",0_h,"Зал продаж (Казань, Декабристов, 8)","Зал продаж - обувь (Казань, Декабристов, 8)","Сезонное хранение (Казань, Декабристов, 8)","Склад (Казань, Декабристов, 8)","Склад Лето Сезон Хран(Казань, Декабристов, 8)","Новая Коллекция (Казань, Декабристов, 8)","Склад ""Единички"" (Казань, Декабристов, 8)",1_h,"Ремонт (Казань, Декабристов, 8)",2_i,Маркетплейсы,0_i,Склад (wildberries),"Подсорт ""Wildberries""",1_i,Итого,firstprice,firstadd,cogs_y,sal,addsale,sale,curadd,currentpr,provider
Брюки белые ,dedd7f69-b6e4-11ea-9107-7085c281e0ea,,1WPT/006662,ЦБ-00001420,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 6,,Белый,ЦБ-00001420;Белый,2020-07-03 ,1,"24299, 24300, 24301",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,520.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1490.0,1.87,520.0,-50.0,,1.0,0.44,749.0,"ООО ""Эс энд Эй"", Саида"
Брюки белые ,dedd7f69-b6e4-11ea-9107-7085c281e0ea,,1WPT/006662,ЦБ-00001420,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 6,,Белый,ЦБ-00001420;Белый,2020-07-03 ,1,"24299, 24300, 24301",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,520.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1490.0,1.87,520.0,-50.0,,1.0,0.44,749.0,"ООО ""Эс энд Эй"""
Брюки классика с 2мя карманами ,cfaa4bc6-648e-11eb-9111-7085c281e0ea,,1WPT/007501,ЦБ-00002379,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_025,,Бежевый,ЦБ-00002379;Бежевый,2021-04-02 ,1,"26879, 26880, 26881",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,998.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.0,1.49,998.0,-70.0,,1.0,-0.25,749.0,Баярма
Брюки классика с 2мя карманами ,cfaa4bc6-648e-11eb-9111-7085c281e0ea,,1WPT/007501,ЦБ-00002379,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_025,,Черный,ЦБ-00002379;Черный,2021-04-02 ,1,"26882, 26883, 26884",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,998.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.0,1.49,998.0,-70.0,,1.0,-0.25,749.0,Баярма
Брюки клеш база,5043cead-3559-11eb-9110-7085c281e0ea,,1WPT/007289,ЦБ-00002162,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 28,,Серый,ЦБ-00002162;Серый,2020-12-15 ,1,"26335, 26336, 26337",,,,,,,,,,,,,,,,0,0.0,0.0,,,0.0,0.0,,,1,0.0,770.0,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,1990.0,1.58,770.0,-50.0,,1.0,0.3,999.0,"ООО ""Эс энд Эй"""
Брюки на защипах 2,51e1fca7-dfc4-11eb-9112-7085c281e0ea,,1WPT/008662,ЦБ-00003138,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_060,,Коричневый,ЦБ-00003138;Коричневый,2021-08-03 ,1,"29407, 29408, 29409",,,,,,,2021-08-03,,,,,,,,,175,167475.0,110.0,105270.0,0.63,31.0,3.5483870967741935,297553.0,192283.0,1,65.0,957.0,62205.0,1.15,,,7.0,25.0,3.5714285714285716,18.2,0.0,13.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2990.0,2.12,957.0,-30.0,-8.0,1.0,1.19,2099.0,Баярма
Брюки на защипах 2,51e1fca7-dfc4-11eb-9112-7085c281e0ea,,1WPT/008662,ЦБ-00003138,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_059,,Серый,ЦБ-00003138;Серый,2021-07-30 ,1,"29404, 29405, 29406",,,,,,2021-07-30,,,,,,,,,,177,169389.0,105.0,100485.0,0.59,34.0,3.088235294117647,253814.0,153329.0,1,72.0,957.0,68904.0,0.91,,,7.0,30.0,4.285714285714286,16.8,0.0,11.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2990.0,2.12,957.0,-50.0,-16.0,1.0,0.57,1499.0,Баярма
Брюки на защипах 3,377ccfbb-eeb7-11eb-9114-7085c281e0ea,,1WPT/008724,ЦБ-00003200,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_066,,Белый,ЦБ-00003200;Белый,2021-08-27 ,1,"29624, 29625, 29626",,,,,,,,,,,,,2021-08-27,,,99,78408.0,6.0,4752.0,0.06,6.0,1.0,17940.0,13188.0,1,93.0,792.0,73656.0,0.17,,,7.0,6.0,0.8571428571428571,108.5,0.0,22.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,2990.0,2.78,792.0,0.0,0.0,0.0,2.78,2990.0,Баярма
Брюки на защипах пояс на 2-ух пуговицах,4b925fb6-dfc6-11eb-9112-7085c281e0ea,,1WPT/008663,ЦБ-00003139,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_064,,Светло-бежевый,ЦБ-00003139;Светло-бежевый,2021-08-17 ,1,"29410, 29411, 29412",,,,,,,,,,,2021-08-17,,,,,115,109020.0,64.0,60672.0,0.56,16.0,4.0,170988.0,110316.0,1,51.0,948.0,48348.0,1.01,,,7.0,28.0,4.0,12.75,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2990.0,2.15,948.0,0.0,-9.0,0.0,2.15,2990.0,Баярма
Брюки на защипах пояс на 2-ух пуговицах,4b925fb6-dfc6-11eb-9112-7085c281e0ea,,1WPT/008663,ЦБ-00003139,1. Одежда,1.1 Поясные,1.1.1 Брюки и леггинсы,1.1.1.1 Брюки классические,Фотосессия 21_063,,Черный,ЦБ-00003139;Черный,2021-07-30 ,1,"29413, 29414, 29415",,,,,,2021-07-30,2021-08-03,2021-08-06,,2021-08-13,,,,,,130,123240.0,125.0,118500.0,0.96,30.0,4.166666666666667,363839.0,245339.0,1,5.0,948.0,4740.0,1.99,,,7.0,4.0,0.5714285714285714,8.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2990.0,2.15,948.0,0.0,-2.0,0.0,2.15,2990.0,Баярма
